club,club_logo
Cruzeiro,https://cdn.futbin.com/content/fifa18/img/clubs/568.png
Universidad de Chile,https://cdn.futbin.com/content/fifa18/img/clubs/15029.png
Atletico Nacional Medellin,https://cdn.futbin.com/content/fifa18/img/clubs/101100.png
En Avant de Guingamp,https://cdn.futbin.com/content/fifa18/img/clubs/62.png
FC Ufa,https://cdn.futbin.com/content/fifa18/img/clubs/110822.png
SM Caen,https://cdn.futbin.com/content/fifa18/img/clubs/210.png
Independiente Medellín,https://cdn.futbin.com/content/fifa18/img/clubs/101103.png
Djurgårdens IF,https://cdn.futbin.com/content/fifa18/img/clubs/710.png
Vitória Guimarães,https://cdn.futbin.com/content/fifa18/img/clubs/1887.png
São Paulo Futebol Clube,https://cdn.futbin.com/content/fifa18/img/clubs/598.png
Colorado Rapids,https://cdn.futbin.com/content/fifa18/img/clubs/694.png
Royal Antwerp FC,https://cdn.futbin.com/content/fifa18/img/clubs/230.png
Kaizer Chiefs,https://cdn.futbin.com/content/fifa18/img/clubs/110929.png
Fulham,https://cdn.futbin.com/content/fifa18/img/clubs/144.png
Huddersfield Town,https://cdn.futbin.com/content/fifa18/img/clubs/1939.png
Fluminense Football Club,https://cdn.futbin.com/content/fifa18/img/clubs/567.png
Leeds United,https://cdn.futbin.com/content/fifa18/img/clubs/8.png
Aston Villa,https://cdn.futbin.com/content/fifa18/img/clubs/2.png
Derby County,https://cdn.futbin.com/content/fifa18/img/clubs/91.png
AC Ajaccio,https://cdn.futbin.com/content/fifa18/img/clubs/614.png
Sociedade Esportiva Palmeiras,https://cdn.futbin.com/content/fifa18/img/clubs/383.png
Hellas Verona,https://cdn.futbin.com/content/fifa18/img/clubs/206.png
Rayo Vallecano,https://cdn.futbin.com/content/fifa18/img/clubs/480.png
Club Brugge KV,https://cdn.futbin.com/content/fifa18/img/clubs/231.png
Real Sporting de Gijón,https://cdn.futbin.com/content/fifa18/img/clubs/459.png
Celtic,https://cdn.futbin.com/content/fifa18/img/clubs/78.png
Hull City,https://cdn.futbin.com/content/fifa18/img/clubs/1952.png
Universidad Católica,https://cdn.futbin.com/content/fifa18/img/clubs/110975.png
